Filme,Título original,País,Ano,Duração,Gênero,Dirigido por,Categoria,Assistido por
Cidade de Deus,Cidade de Deus,Brasil,2002,130,Drama,Fernando Meirelles,2,ExemploUser
Que Horas Ela Volta?,Que Horas Ela Volta,Brasil,2015,112,Drama,Anna Muylaert,4,ExemploUser
As Pequenas Margaridas,Daisies,Czechoslovakia,1966,82,Drama,Vera Chytilová,5,ExemploUser
O Encouraçado Potemkin,Броненосец Потёмкин,URSS,1925,75,Drama,Sergei Eisenstein,3,ExemploUser
Cléo das 5 às 7,Cléo de 5 à 7,França,1962,90,Drama,Agnès Varda,6,ExemploUser
O Iluminado,The Shining,EUA,1980,146,Terror,Stanley Kubrick,7,ExemploUser
Satantango,Sátántangó,Hungria,1994,450,Drama,Béla Tarr,8,ExemploUser
Túmulo dos Vagalumes,火垂るの墓,Japão,1988,89,Animação,Isao Takahata,1,ExemploUser
Parasita,Parasite,Coreia do Sul,2019,118,Animação,Isao Takahata,1,ExemploUser
O Segredo dos Seus Olhos,El secreto de sus ojos,Argentina,2009,129,Suspense,Juan José Campanella,1,ExemploUser
A Caça,Jagten,Dinamarca,2012,115,Drama,Thomas Vinterberg,1,ExemploUser
O Lagosta,The Lobster,Grécia,2015,118,Comédia,Yorgos Lanthimos,1,ExemploUser
A Separação,جدایی نادر از سیمین,Irã,2011,123,Drama,Asghar Farhadi,1,ExemploUser
O Labirinto do Fauno,El laberinto del fauno,Espanha,2006,118,Fantasia,Guillermo del Toro,1,ExemploUser
O Som ao Redor,O Som ao Redor,Brasil,2012,131,Drama,Kleber Mendonça Filho,2,ExemploUser
