id_tmdb,titulo_pt,titulo_original,assistido_por,num_assistidos,ano_lancamento,pais,duracao_minutos,generos,diretor
142,O Segredo de Brokeback Mountain,Brokeback Mountain,mathamen,1,2005,Canada,134,"Drama, Romance",Ang Lee
147,Os Incompreendidos,Les Quatre Cents Coups,ssophs,1,1959,France,99,Drama,François Truffaut
149,Akira,AKIRA,ValenteXD_,1,1988,Japan,124,"Animação, Ficção científica, Ação",Katsuhiro Otomo
229,A Noiva de Frankenstein,Bride of Frankenstein,ValenteXD_,1,1935,United States of America,75,"Terror, Ficção científica",James Whale
338,"Adeus, Lênin!","Good Bye, Lenin!",EdzinhoHowlett,1,2003,Germany,121,"Comédia, Drama",Wolfgang Becker
348,Alien: O Oitavo Passageiro,Alien,DenisseAraujo,1,1979,United States of America,117,"Terror, Ficção científica",Ridley Scott
540,D.E.B.S. - As Super Espiãs,D.E.B.S.,carolina__rosa,1,2005,United States of America,91,"Ação, Comédia, Romance",Angela Robinson
599,Crepúsculo dos Deuses,Sunset Boulevard,moonerz,1,1950,United States of America,110,Drama,Billy Wilder
600,Nascido Para Matar,Full Metal Jacket,mathamen,1,1987,United Kingdom,117,"Drama, Guerra",Stanley Kubrick
649,A Bela da Tarde,Belle de jour,moonerz,1,1967,France,101,"Drama, Romance",Luis Buñuel
666,Central do Brasil,Central do Brasil,yatokami,1,1998,Brazil,110,Drama,Walter Salles
670,Oldboy,올드보이,gusta42,1,2003,South Korea,120,"Thriller, Mistério",Park Chan-wook
780,O Martírio de Joana D'Arc,La Passion de Jeanne d'Arc,houkaita,1,1928,France,110,"Drama, História",Carl Theodor Dreyer
1018,Cidade dos Sonhos,Mulholland Drive,houkaita,1,2001,France,147,"Thriller, Drama, Mistério",David Lynch
1366,Rocky: Um Lutador,Rocky,Tunim73,1,1976,United States of America,119,Drama,John G. Avildsen
1398,Stalker,Сталкер,"mathamen, houkaita",2,1979,Soviet Union,162,"Ficção científica, Drama",Andrei Tarkovsky
3019,O Médico e o Monstro,Dr. Jekyll and Mr. Hyde,Belle_Is,1,1931,United States of America,98,"Terror, Ficção científica, Drama",Rouben Mamoulian
4584,Razão e Sensibilidade,Sense and Sensibility,Belle_Is,1,1995,United States of America,136,"Drama, Romance",Ang Lee
6977,Onde os Fracos Não Têm Vez,No Country for Old Men,xeremel,1,2007,United States of America,122,"Crime, Thriller, Faroeste",Joel Coen
7512,Idiocracia,Idiocracy,Tunim73,1,2006,United States of America,84,"Comédia, Ficção científica, Aventura",Mike Judge
9837,O Príncipe do Egito,The Prince of Egypt,xeremel,1,1998,United States of America,99,"Aventura, Animação, Drama, Família",Simon Wells
10494,Perfect Blue,PERFECT BLUE,gusta42,1,1998,Japan,85,"Animação, Thriller",Satoshi Kon
11423,Memórias de um Assassino,살인의 추억,moonerz,1,2003,South Korea,131,"Crime, Drama, Thriller",Bong Joon Ho
13223,Gran Torino,Gran Torino,matheuspc3,1,2008,United States of America,116,Drama,Clint Eastwood
14421,O Ano em que Meus Pais Saíram de Férias,O Ano em que Meus Pais Saíram de Férias,belovacomics,1,2006,Brazil,103,Drama,Cao Hamburger
15179,Patrik 1.5,"Patrik 1,5",EdzinhoHowlett,1,2008,Sweden,102,"Drama, Comédia",Ella Lemhagen
20048,Os Delírios de Consumo de Becky Bloom,Confessions of a Shopaholic,xeremel,1,2009,United States of America,104,"Comédia, Romance",P.J. Hogan
26275,下妻物語,下妻物語,Belle_Is,1,2004,Japan,102,Comédia,Tetsuya Nakashima
27337,リンダ リンダ リンダ,リンダ リンダ リンダ,houkaita,1,2005,Japan,115,"Comédia, Música, Drama",Nobuhiro Yamashita
36685,The Rocky Horror Picture Show,The Rocky Horror Picture Show,carolina__rosa,1,1975,United Kingdom,100,"Comédia, Ficção científica, Terror",Jim Sharman
40823,O Homem Que Copiava,O Homem Que Copiava,ok1na,1,2003,Brazil,123,"Comédia, Drama, Romance, Crime",Jorge Furtado
42209,Os Trapalhões na Guerra dos Planetas,Os Trapalhões na Guerra dos Planetas,danielzanzao,1,1978,Brazil,89,"Aventura, Comédia, Família, Ficção científica",Adriano Stuart
46463,Da Kath & Kim Code,Da Kath & Kim Code,catlovrr96,1,2005,Australia,82,"Comédia, Cinema TV",Ted Emery
52561,O Homem Que Nunca Pecou,The Whole Town's Talking,UmaPessoaHumana,1,1935,United States of America,93,"Comédia, Crime",John Ford
54433,"Gamera, o Guardião do Universo",ガメラ 大怪獣空中決戦,joaov0805,1,1995,Japan,96,"Fantasia, Ficção científica, Ação, Terror",Shusuke Kaneko
58129,A Carruagem Fantasma,Körkarlen,UmaPessoaHumana,1,1921,Sweden,108,"Drama, Fantasia, Terror",Victor Sjöström
59480,Gamera 2: Ataque da Legião,ガメラ2 レギオン襲来,joaov0805,1,1996,Japan,99,"Fantasia, Ficção científica, Terror",Shusuke Kaneko
60159,Gamera 3: A Vingança de Iris,ガメラ3 邪神＜イリス＞覚醒,joaov0805,1,1999,Japan,107,"Fantasia, Ficção científica, Terror",Shusuke Kaneko
