User           , Mission1, Mission2, Mission3, Mission4, Mission5, Mission6, Mission7, Mission8, MissionSpecial
UmaPessoaHumana,        1,        0,        1,        1,        1,        0,        0,        0,              2
mathamen       ,        0,        1,        0,        0,        0,        0,        0,        0,              2
belovacomics   ,        1,        0,        0,        0,        0,        0,        0,        1,              2
carolina__rosa ,        1,        1,        0,        1,        0,        0,        0,        0,              1
EdzinhoHowlett ,        1,        1,        0,        0,        0,        0,        0,        0,              2
danielzanzao   ,        1,        1,        0,        0,        0,        0,        1,        0,              3
DenisseAraujo  ,        0,        0,        0,        0,        0,        1,        0,        1,              3
batgabi        ,        0,        0,        0,        0,        0,        0,        0,        0,              4
gusta42        ,        0,        0,        1,        0,        0,        0,        1,        0,              4
Belle_Is       ,        0,        0,        1,        0,        1,        0,        0,        0,              2
ValenteXD_     ,        1,        0,        0,        1,        1,        1,        0,        0,              2
joaov0805      ,        0,        0,        0,        0,        0,        0,        0,        0,              2
catlovrr96     ,        0,        0,        0,        0,        0,        0,        0,        0,              4
moonerz        ,        1,        0,        1,        0,        0,        0,        0,        0,              4
houkaita       ,        0,        0,        1,        0,        1,        0,        0,        0,              4
yatokami       ,        0,        0,        0,        1,        0,        0,        1,        0,              2
matheuspc3     ,        0,        0,        0,        0,        0,        0,        0,        0,              3
ok1na          ,        0,        0,        0,        0,        0,        0,        0,        0,              1
xeremel        ,        0,        0,        1,        1,        0,        1,        0,        0,              1
ssophs         ,        0,        0,        0,        0,        0,        0,        1,        0,              3
