Date,Name,Year,Letterboxd URI
2023-05-29,Mulholland Drive,2001,https://boxd.it/297o
2023-05-29,The Texas Chain Saw Massacre,1974,https://boxd.it/1lcS
2023-05-29,The Shining,1980,https://boxd.it/29Nu
2023-06-07,Pulp Fiction,1994,https://boxd.it/29Pq
2023-06-07,The Silence of the Lambs,1991,https://boxd.it/2aHW
2023-06-07,A Clockwork Orange,1971,https://boxd.it/2aVE
2023-06-07,Paprika,2006,https://boxd.it/23wW
2023-09-08,Come and See,1985,https://boxd.it/1w9q
2024-01-14,Onibaba,1964,https://boxd.it/252a
2024-01-14,The Color Purple,1985,https://boxd.it/29oO
2024-05-26,The Killing of a Sacred Deer,2017,https://boxd.it/dZ5G
2024-05-30,Brazil,1985,https://boxd.it/2be2
2024-05-30,Nightcrawler,2014,https://boxd.it/780m
2024-05-30,Napoleon,1927,https://boxd.it/WEC
2024-07-22,Speed,1994,https://boxd.it/28qk
2024-07-29,The Unbearable Weight of Massive Talent,2022,https://boxd.it/o6eK
2024-08-16,Office Space,1999,https://boxd.it/28Em
2024-08-16,Blue Collar,1978,https://boxd.it/1Nhm
2024-08-22,Copycat,1995,https://boxd.it/28ga
2024-09-06,House,1977,https://boxd.it/1vsm
2024-09-06,Twin Peaks: Fire Walk with Me,1992,https://boxd.it/27Qw
2024-09-06,The Girls,1962,https://boxd.it/1CCe
2024-09-06,Father Frost,1965,https://boxd.it/1CGq
2024-09-06,Metropolis,1927,https://boxd.it/71a
2024-09-07,Jason and the Argonauts,1963,https://boxd.it/1TCK
2024-09-07,Amadeus,1984,https://boxd.it/2aH8
2024-09-09,Viy,1967,https://boxd.it/nd2
2024-09-09,The Burmese Harp,1956,https://boxd.it/1fKa
2024-09-10,Late Bloomers,1996,https://boxd.it/63rK
2024-09-10,Beetlejuice,1988,https://boxd.it/24QI
2024-09-11,Fantastic Planet,1973,https://boxd.it/1KnQ
2024-09-11,Vertigo,1958,https://boxd.it/2apI
2024-09-14,Lawrence of Arabia,1962,https://boxd.it/2wRE
2024-09-14,BlacKkKlansman,2018,https://boxd.it/hxL8
2024-09-14,Airplane!,1980,https://boxd.it/29yu
2024-09-14,Ghost in the Shell,1995,https://boxd.it/1YYc
2024-09-14,The Parent Trap,1998,https://boxd.it/1XJq
2024-09-15,At Midnight I'll Take Your Soul,1964,https://boxd.it/1kje
2024-09-17,First Reformed,2017,https://boxd.it/go9C
2024-09-17,Charcoal,2022,https://boxd.it/wVge
2024-09-17,Toll,2023,https://boxd.it/yQpO
2024-09-17,The Flower Girl,1972,https://boxd.it/5E18
2024-09-18,Saw,2004,https://boxd.it/2aWW
2024-09-19,Tonight I'll Possess Your Corpse,1967,https://boxd.it/1kj4
2024-09-19,Last and First Men,2020,https://boxd.it/kKi0
2024-09-19,Eraserhead,1977,https://boxd.it/299u
2024-09-19,Wild Strawberries,1957,https://boxd.it/29ZU
2024-09-19,Touki Bouki,1973,https://boxd.it/2H44
2024-09-19,The Battle of Algiers,1966,https://boxd.it/1IRY
2024-09-19,"This Is Not a Burial, It’s a Resurrection",2019,https://boxd.it/mRiA
2024-09-19,Timbuktu,2014,https://boxd.it/7UrK
2024-09-19,A Knight's Tale,2001,https://boxd.it/1YAk
2024-09-20,The Eight Mountains,2022,https://boxd.it/ufRe
2024-09-21,Strike,1925,https://boxd.it/QFk
2024-09-21,All Quiet on the Western Front,1930,https://boxd.it/2b2g
2024-09-21,Frankenstein,1931,https://boxd.it/25Te
2024-09-21,Ben-Hur,1959,https://boxd.it/29RQ
2024-09-21,Chungking Express,1994,https://boxd.it/1UDa
2024-09-22,The Awakening of the Beast,1970,https://boxd.it/3d62
2024-09-24,Princess Mononoke,1997,https://boxd.it/2b4w
2024-09-24,Network,1976,https://boxd.it/1VqG
2024-09-24,One Flew Over the Cuckoo's Nest,1975,https://boxd.it/2aeA
2024-09-24,Goldfinger,1964,https://boxd.it/29SY
2024-09-24,The Children's Hour,1961,https://boxd.it/1DZI
2024-09-26,No Other Land,2024,https://boxd.it/KOTG
2024-09-26,Lars and the Real Girl,2007,https://boxd.it/21tG
2024-09-26,A Quiet Place,2018,https://boxd.it/fVJQ
2024-09-27,Persona,1966,https://boxd.it/29B4
2024-09-27,Cries and Whispers,1972,https://boxd.it/1WK8
2024-09-27,Hour of the Wolf,1968,https://boxd.it/1H9G
2024-09-27,Barren Lives,1963,https://boxd.it/29uM
2024-09-27,Das Boot,1981,https://boxd.it/2av2
2024-09-27,Ghostbusters,1984,https://boxd.it/g2w
2024-09-27,"The Adventures of Priscilla, Queen of the Desert",1994,https://boxd.it/26mg
2024-09-27,The Shawshank Redemption,1994,https://boxd.it/2aHi
2024-09-27,Satantango,1994,https://boxd.it/1j9M
2024-09-27,Clueless,1995,https://boxd.it/1Ygk
2024-09-27,Spirited Away,2001,https://boxd.it/2b4m
2024-09-27,The Pianist,2002,https://boxd.it/2aqc
2024-09-27,Ring,1998,https://boxd.it/26tw
2024-09-28,Requiem for a Dream,2000,https://boxd.it/29VI
2024-09-28,Us,2019,https://boxd.it/gnV6
